ID_Client;Segment;Type_Client;Saison;Canal_reservation;Type_canal;Annulee;Mois_sejour;Sexe;Niveau_revenus;Pays;Province;Ville;Type_chambre;Numero_chambre;Nuits;Rev_Chambre;Tarif_applique;Rev_Banquet;Rev_Resto;Rev_Spa;Type_Forfait;Satisfaction_NPS;Total_Facture
AB-00001;Congressiste;Interne;Basse;Site Web de l'hôtel;Direct;Non;2;F;Faible;Canada;Québec;Laval;Classique;55;4;999.9399999999999;249.98499999999999;478.7358779738473;42.511242578918676;0.0;Chambre Seule;7.556432634939411;1051.6695083669229
AB-00002;Loisirs_Couple;Interne;Haute;Trip.com;Intermediaire;Oui;8;F;Élevé;Canada;Ontario;Mississauga;deluxe;71;0;0.0;390.92999999999995;0.0;0.0;0.0;Chambre Seule;;0.0
AB-00003;Affaires_Solo;Interne;Haute;TripAdvisor;Intermediaire;Non;2;F;Moyen;Europe;Autre;Non spécifié;Classique;18;1;249.98499999999999;249.98499999999999;0.0;65.7402393244089;6.976032305003442;Chambre Seule;5.8150984659299585;337.8449906343612
AB-00004;Affaires_Solo;Interne;Haute;Site Web de l'hôtel;Direct;Non;4;F;Faible;Europe;Autre;Non spécifié;Classique;41;3;906.015;302.005;0.0;78.18927512651747;0.0;Chambre Seule;6.131919827484141;1007.2535012032495
AB-00005;Congressiste;Interne;Basse;Courriel à l'hôtel;Direct;Non;5;M;Élevé;États-Unis;Autre;Non spécifié;Classique;17;3;906.015;302.005;215.29088391656947;49.355320888188615;0.0;Chambre Seule;8.069590486637807;957.9643192297741
AB-00006;Loisirs_Couple;Interne;Haute;Booking.com;Intermediaire;Oui;11;M;Faible;États-Unis;New York;Buffalo;deluxe;71;0;0.0;290.44999999999993;0.0;0.0;0.0;Forfait Gastronomique;;0.0
AB-00007;Affaires_Solo;Interne;Basse;Booking.com;Intermediaire;Non;8;F;Moyen;États-Unis;Autre;Non spécifié;Classique;26;1;359.80499999999995;359.80499999999995;0.0;28.95147901476541;0.0;Forfait Gastronomique;7.190998871072127;407.4437550713158
AB-00008;Loisirs_Couple;Interne;Haute;Téléphone à l'hôtel;Direct;Non;7;F;Moyen;États-Unis;New York;Rochester;Classique;29;2;661.8099999999998;330.9049999999999;0.0;61.76903983398037;187.85618331488183;Chambre Seule;8.741771458028536;981.6433294182538
AB-00009;Affaires_Solo;Interne;Haute;Courriel à l'hôtel;Direct;Non;1;F;Faible;États-Unis;New York;Rochester;Classique;34;2;430.60999999999996;215.30499999999998;0.0;43.655566640618204;0.0;Chambre Seule;6.597681966187491;473.9363794453305
AB-00010;Local_Gourmet;Externe;Haute;Airbnb;Intermediaire;Oui;9;M;Élevé;Europe;Autre;Non spécifié;Classique;3;0;0.0;319.34499999999997;0.0;0.0;0.0;Chambre Seule;;5.425600435859646
